proc,president,date,c_approval,c_disapprove,c_dk,secondterm,last2years,p_electionyear,c_electionyear,title,country,countrytbalance,scope,unilateral,direction,direction2,authorize,authorize2,firstmover,statute,goods,party,housed,houser,house,senated,senater,senate,popularity,cpiujan,cpiufeb,cpiumar,cpiuapr,cpiumay,cpiujun,cpiujul,cpiuaug,cpiusep,cpiuoct,cpiunov,cpiudec,cpichange,unempjan,unempfeb,unempmar,unempapr,unempmay,unempjun,unempjul,unempaug,unempsep,unempoct,unempnov,unempdec,unempavg,gdpq1,gdpq2,gdpq3,gdpq4,gdpavg,gdpprior,gdpchange,gnp,exports,imports,tradebalance,productivity,protect,unilateralaction,freetrade,agproduct,steel,modify,newrule,oil,mfn,restorestatus,approvaldiff,ta1974,relativepop,dcontrolHOR,dcontrolS;
",Theodore Roosevelt,16-Jun-07,,,,0,0,0,0,Proclamation - Reciprocity with the Netherlands,Netherlands,"""",1,2,3,2,2,1,2,Tariff Act 1891,6,R,167,223,1,31,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,"""",,,"""",1.89999997615814,1.39999997615814,0.5,N/A,0,0,1,1,0,0,1,0,0,0,0,0,,0,0";
"1870,Herbert Hoover,7-Mar-29,,,,0,0,0,0,Requesting an Extra Session of Congress on Agricultural Relief and Tariff Changes.,None Listed,"""",1,1,1,2,2,1,1,None,6,R,164,270,1,39,56,1,,17.1000003814697,17.1000003814697,17,16.8999996185303,17,17.1000003814697,17.2999992370605,17.2999992370605,17.2999992370605,17.2999992370605,17.2999992370605,17.2000007629395,0,,,,,,,,,,,,N/A,,103.6,N/A,N/A,N/A,103.6,,,"""",5.19999980926514,4.40000009536743,0.800000011920929,N/A,0,1,1,1,0,0,1,0,0,0,0,0,,0,0";
"1939,Herbert Hoover,2-Mar-31,,,,0,1,0,0,Revoking Embargo on Exportation of Arms and Munitions of War to Brazil.,Brazil,"""",1,1,2,2,2,6,2,42 Stat. 361,11,R,216,218,1,47,48,1,,15.8999996185303,15.6999998092651,15.6000003814697,15.5,15.3000001907349,15.1000003814697,15.1000003814697,15.1000003814697,15,14.8999996185303,14.6999998092651,14.6000003814697,-9,,,,,,,,,,,,N/A,,76.5,N/A,N/A,N/A,76.5,91.1999969482422,-14.6999998092651,"""",2.40000009536743,2.09999990463257,0.300000011920929,N/A,0,1,1,0,0,0,0,0,0,0,0,0,,0,0";
"2087,Franklin D. Roosevelt,28-May-34,,,,0,0,0,1,Forbidding the Shipment of Arms to the Combatants in the Chaco.,Bolivia & Paraguay,"""",3,1,2,1,2,1,2,Joint Res. Of Congress,11,D,313,117,1,59,36,1,,13.1999998092651,13.3000001907349,13.3000001907349,13.3000001907349,13.3000001907349,13.3999996185303,13.3999996185303,13.3999996185303,13.6000003814697,13.5,13.5,13.3999996185303,3.09999990463257,,,,,,,,,,,,N/A,,66,N/A,N/A,N/A,66,56.4000015258789,9.60000038146973,"""",2.09999990463257,1.70000004768372,0.400000005960465,N/A,1,1,0,0,0,0,1,0,0,0,0,0,,1,1";
"2089,Franklin D. Roosevelt,29-Jun-34,,,,0,0,0,1,Banning the Exportation of Arms and Munitions to Cuba.,Cuba,"""",1,1,2,1,2,1,2,Joint Res. Of Congress,11,D,313,117,1,59,36,1,,13.1999998092651,13.3000001907349,13.3000001907349,13.3000001907349,13.3000001907349,13.3999996185303,13.3999996185303,13.3999996185303,13.6000003814697,13.5,13.5,13.3999996185303,3.09999990463257,,,,,,,,,,,,N/A,,66,N/A,N/A,N/A,66,56.4000015258789,9.60000038146973,"""",2.09999990463257,1.70000004768372,0.400000005960465,N/A,1,1,0,0,0,0,1,0,0,0,0,0,,1,1";
"2093,Franklin D. Roosevelt,10-Aug-34,,,,0,0,0,1,Allowing Importation of Duty-Free Livestock Feed to Drought Areas.,None Listed,"""",2,1,1,2,2,1,2,Tariff Act 1930,6,D,313,117,1,59,36,1,,13.1999998092651,13.3000001907349,13.3000001907349,13.3000001907349,13.3000001907349,13.3999996185303,13.3999996185303,13.3999996185303,13.6000003814697,13.5,13.5,13.3999996185303,3.09999990463257,,,,,,,,,,,,N/A,,66,N/A,N/A,N/A,66,56.4000015258789,9.60000038146973,"""",2.09999990463257,1.70000004768372,0.400000005960465,N/A,0,1,1,1,0,0,1,0,0,0,0,0,,1,1";
"2138,Franklin D. Roosevelt,25-Sep-35,,,,0,0,0,0,""Defining Arms, Ammunition and Implements of War under the Neutrality Legislation"",None Listed,"""",4,1,3,1,2,1,2,Joint Res. Of Congress,11,D,322,103,1,69,25,1,,13.6000003814697,13.6999998092651,13.6999998092651,13.8000001907349,13.8000001907349,13.6999998092651,13.6999998092651,13.6999998092651,13.6999998092651,13.6999998092651,13.8000001907349,13.8000001907349,2.20000004768372,,,,,,,,,,,,N/A,,73.3,N/A,N/A,N/A,73.3,66,7.30000019073486,"""",2.29999995231628,2,0.300000011920929,N/A,1,1,0,0,0,0,1,0,0,0,0,0,,1,1";
"2141,Franklin D. Roosevelt,5-Oct-35,,,,0,0,0,0,Prohibiting the Export of Arms and Ammunition to Ethiopia and Italy.,""Ethiopia, Italy"","""",3,1,2,1,2,1,2,Joint Res. Of Congress,11,D,322,103,1,69,25,1,,13.6000003814697,13.6999998092651,13.6999998092651,13.8000001907349,13.8000001907349,13.6999998092651,13.6999998092651,13.6999998092651,13.6999998092651,13.6999998092651,13.8000001907349,13.8000001907349,2.20000004768372,,,,,,,,,,,,N/A,,73.3,N/A,N/A,N/A,73.3,66,7.30000019073486,"""",2.29999995231628,2,0.300000011920929,N/A,1,1,0,0,0,0,1,0,0,0,0,0,,1,1";
"2147,Franklin D. Roosevelt,14-Nov-35,,,,0,0,0,0,Revoking the Arms Embargo at the Termination of Hostilities in the Chaco.,Bolivia & Paraguay,"""",3,1,2,2,2,6,2,Joint Res. Of Congress,11,D,322,103,1,69,25,1,,13.6000003814697,13.6999998092651,13.6999998092651,13.8000001907349,13.8000001907349,13.6999998092651,13.6999998092651,13.6999998092651,13.6999998092651,13.6999998092651,13.8000001907349,13.8000001907349,2.20000004768372,,,,,,,,,,,,N/A,,73.3,N/A,N/A,N/A,73.3,66,7.30000019073486,"""",2.29999995231628,2,0.300000011920929,N/A,0,1,1,0,0,0,0,0,0,0,0,0,,1,1";
